Team,Conference,2PA,3PA,TOV,FTD,RAA,PZA,MRA,COA,ABA,2SFD,3SFD,NSFD,RAP,PZP,MRP,COP,ABP,FTP,PACE,DEEPA,DEEPP,2PAnd1,3PAnd1,ORAP,OPZP,OMRP,OCOP,OABP,ORB,DRB
ATL,East,4492,3092,1110,1016,2221,1533,737,869,404,799,59,158,62.3,44,46.8,38,36.1,79.7,100.84,1940,35.1,192,17,67.2,45,42.7,40.6,37.8,12.5,32.2
BOS,East,3914,3482,979,881,1974,1195,745,765,290,713,29,139,70.3,45.4,43.1,43,39.3,80.7,97.98,2485,37.1,165,7,64,42.9,42,35.2,35.6,10.7,35.6
BKN,East,4297,3010,1076,914,2146,1387,764,822,382,725,42,147,64.5,40.7,38.6,41.1,35.1,75.6,97.56,1845,34,173,15,65.7,39.9,43.1,41.8,36.1,11.4,32.6
CHA,East,4345,2788,1129,818,2164,1320,861,642,316,686,25,107,65.2,41.7,38.2,36.1,33.5,78.6,97.81,1923,35,175,5,67.6,46.2,42.1,40,37.1,9.3,31
CHI,East,4709,2630,1004,935,2238,1276,1194,755,380,769,11,155,62.2,46.4,43.7,38.5,34.7,79.1,96.94,1535,34.5,179,4,66.1,43.6,42.1,41.6,35.3,11.2,32.6
CLE,East,4132,3016,1112,885,2247,1316,569,753,386,702,30,153,65.8,43.8,46.2,37.1,34.7,76.5,97.62,1976,36.4,153,12,63,41.7,40.9,39.4,36.5,9.8,33.4
DAL,West,4110,3242,1027,993,1933,1257,920,924,365,804,33,156,70.7,45.9,42.8,36.3,40,75.8,100.6,2014,36.2,213,12,67.8,44.5,40.2,38.6,36.2,9.7,33.2
DEN,West,4719,2560,1036,878,2344,1368,1007,635,442,682,19,177,65.1,48.8,45.5,38.4,36,76.2,97.43,1515,37,186,1,63.8,41.7,39.7,37.5,35.3,10.7,33.7
DET,East,4634,2602,1248,939,2160,1539,934,735,308,787,29,123,64.4,42.8,42.6,36.2,30.5,78.5,100.45,1603,34.6,180,4,67.9,45.1,44.9,39.2,36.5,10.5,32.8
GSW,West,4324,3191,1174,884,1876,1525,925,557,335,721,40,123,70.3,44.1,41,38.6,34,78,99.91,2397,37.8,175,14,67.3,48.9,39.2,38,35.4,12.1,34.6
HOU,West,4495,2964,1045,1032,2307,1376,813,535,317,865,14,153,64,41.6,41.2,39.4,35.6,77.3,99.59,2152,33.9,213,3,65.9,44.8,43,36.9,34.3,11.5,34
IND,East,4708,2891,1059,940,2448,1473,788,712,250,803,11,126,68.5,47.3,50.5,40.9,34,78.2,102.16,1990,36.4,244,2,65.3,47.7,44.3,39.8,35.8,10.1,31.4
LAC,West,4389,2719,1078,951,2030,1465,894,720,233,742,63,146,67,48.2,41.4,41,35.2,82.5,97.93,1791,37,176,12,67.4,41.1,42.3,37.3,36.1,10,32.9
LAL,West,4605,2572,1146,1069,2333,1418,855,685,267,861,26,182,72.4,41.8,38.6,38.7,37.8,78.2,101.38,1682,37.3,238,4,68.1,41.9,42.3,39.6,37.2,8.2,34.9
MEM,West,4132,3097,1236,915,2089,1526,516,797,403,722,29,164,60.6,40.8,36.2,34.9,33.3,76.4,98.68,1949,34.4,158,5,63.5,42.7,42.9,41.2,37,10.9,31.7
MIA,East,4257,2765,1038,949,1751,1695,813,824,266,761,32,156,63.4,48.6,38,39.3,38,81.8,96.88,1702,35.4,162,9,67.5,47.3,43.3,37.7,34.6,9.3,33
MIL,East,4136,3122,1059,1036,2084,1072,980,831,295,790,49,197,70.8,42.8,45,41.2,32.9,77.4,100.51,2096,36.1,194,9,66,46.2,42.3,36.8,35.5,9.4,34.8
MIN,West,4293,2681,1162,1030,2130,1487,676,786,482,829,13,188,67.5,43.3,39.1,40.8,39.2,77.7,97.79,1432,37.1,215,3,63.2,41.2,39.8,38.6,34.6,9.4,34.2
NOP,West,4492,2673,1067,1000,2190,1498,803,735,311,838,28,134,65.9,44.1,44.5,42.6,37.9,77.1,98.7,1673,36.2,183,6,67.9,43.3,41,37.9,34,10.4,33.6
NYK,East,4336,2936,1085,959,2107,1472,756,836,407,776,38,145,63.1,45.9,39.2,40.7,35.4,78,95.96,1717,35.4,215,9,63.5,43.5,41.8,39.7,35.5,12.7,32.5
OKC,West,4519,2805,1039,954,2196,1432,891,723,385,791,16,147,67.5,46.8,46,41.4,40.8,82.5,100.85,1717,37.2,196,2,62.1,43.6,39.7,36.9,36,8.8,33.2
ORL,East,4396,2568,1206,1072,2389,1230,777,700,227,878,17,177,67.2,42.1,37.6,36.7,36.6,75.9,97.37,1684,33.7,204,4,65.8,44.8,42.9,36.5,35.9,10.5,31.8
PHI,East,4598,2733,984,1047,2296,1466,836,620,204,886,19,142,63.1,42,41.6,39.7,35.8,82.6,98.17,1960,35,229,4,66.7,39.8,40,38.4,34.7,11,31.9
PHX,West,4392,2671,1221,1015,1892,1366,1134,688,284,796,31,188,67.5,47.4,47.4,40.6,41.9,80.8,99,1742,36.6,192,5,65.2,42.1,38.5,35.9,36.8,10.1,33.9
POR,West,4633,2723,1249,892,2249,1494,890,691,361,744,25,123,60.4,37.7,41.2,36.6,36.8,79.1,97.88,1727,33,166,6,70.5,45.9,42.1,40.3,33.6,12.6,30.1
SAC,West,4236,3219,1078,912,1919,1593,724,817,315,758,17,137,68.7,48.2,39.9,38.6,35.6,74.5,99.46,2117,35.7,183,2,66.5,45.4,41.9,40.4,38.2,10.8,33.2
SAS,West,4453,2983,1242,879,2285,1378,791,725,355,733,34,112,66,43.5,37.2,37.8,32.4,78.2,101.8,1927,33.8,180,8,65.9,44.5,43.7,37.6,37.5,10.4,33.9
TOR,East,4644,2712,1147,960,2335,1550,758,719,262,803,16,141,67.5,41.2,40.6,37.7,29.4,75.6,99.91,1774,34.2,214,1,69.3,44.8,40.7,40.2,37,10.9,31.8
UTA,West,4378,2993,1285,987,1998,1831,548,863,367,779,41,167,68.7,44.4,35.8,38.9,28.9,83,100.26,1790,34.9,193,9,67.4,45.7,42.2,45.2,37.9,12.2,33.2
WAS,East,4578,2915,1147,908,2338,1551,690,687,293,769,21,118,69.7,39.9,37.7,38.4,28.3,76.4,103.07,2051,33.9,222,9,71,42.8,44.7,40.3,35,9.2,31.9